year,Average Annual Temperature,30 year trend - Temperature,Annual Precipitation,30 year trend - Precipitation,Precipitation from Severe Storms,30 year trend - Precipitation from Severe Storms
1895,50.55,51.27,35.64,44.72,NA,NA
1896,51.55,51.25,39.59,44.78,NA,NA
1897,51.4,51.23,47.86,44.83,NA,NA
1898,52.55,51.22,48.9,44.87,NA,NA
1899,51.1,51.2,43.74,44.89,NA,NA
1900,52.65,51.19,40.52,44.91,NA,NA
1901,50.55,51.18,48.88,44.92,NA,NA
1902,51.25,51.17,54.6,44.92,NA,NA
1903,51.05,51.16,50.03,44.93,NA,NA
1904,48.55,51.16,43,44.93,NA,NA
1905,50.5,51.15,42.77,44.93,NA,NA
1906,52.2,51.13,49.37,44.93,NA,NA
1907,49.35,51.12,51.31,44.91,NA,NA
1908,51.85,51.1,42.63,44.87,NA,NA
1909,51.2,51.08,38.65,44.75,NA,NA
1910,51.05,51.06,40.51,44.5,0.119,0.17
1911,51.95,51.09,49.49,44.19,0.142,0.163
1912,50.6,51.14,46,43.87,0.144,0.156
1913,53.35,51.19,44.16,43.54,0.263,0.15
1914,50.45,51.24,37.11,43.24,0.167,0.143
1915,51.5,51.28,47.42,42.98,0.21,0.137
1916,50.6,51.31,38.65,42.79,0.168,0.131
1917,49.05,51.32,41.92,42.63,0,0.124
1918,51.25,51.33,37.91,42.48,0.166,0.118
1919,52.5,51.34,50.45,42.33,0,0.112
1920,50.8,51.36,46.46,42.19,0.163,0.106
1921,53.7,51.39,36.71,42.08,0.053,0.1
1922,52.15,51.44,36.58,41.98,0.058,0.094
1923,51.5,51.5,40.91,41.93,0,0.087
1924,50.05,51.56,46.01,41.94,0.293,0.08
1925,51.6,51.61,38.47,42.02,0,0.074
1926,49.6,51.67,44.32,42.16,0,0.071
1927,51.6,51.71,44.5,42.33,0.055,0.069
1928,51.45,51.75,44.38,42.53,0.053,0.069
1929,51.85,51.77,42.61,42.73,0.1,0.069
1930,52.35,51.78,31.68,42.91,0,0.069
1931,53.85,51.79,36.46,43.06,0.049,0.07
1932,52.8,51.8,45.6,43.19,0.105,0.07
1933,52.5,51.82,49.87,43.31,0.051,0.07
1934,51.1,51.85,45.82,43.42,0,0.071
1935,51.05,51.88,44.78,43.51,0.098,0.071
1936,51.55,51.91,45.37,43.6,0.054,0.072
1937,52.1,51.93,45.48,43.71,0.247,0.074
1938,52.75,51.95,49.31,43.83,0.099,0.075
1939,52.4,51.95,42.85,43.96,0,0.076
1940,49.4,51.96,45.85,44.09,0.048,0.076
1941,52.45,51.97,34.56,44.22,0.1,0.077
1942,52,52,48.23,44.32,0.157,0.077
1943,51.5,52.03,38.05,44.35,0,0.077
1944,51.95,52.08,44.21,44.32,0,0.077
1945,51.95,52.14,49.68,44.25,0.104,0.077
1946,53.05,52.19,39.44,44.18,0.159,0.077
1947,51.65,52.23,42.49,44.12,0.098,0.076
1948,51.65,52.27,51.72,44.09,0.049,0.075
1949,54.15,52.3,39.25,44.08,0,0.075
1950,51.5,52.32,42.85,44.08,0.05,0.075
1951,52.45,52.32,45.9,44.07,0,0.074
1952,52.9,52.31,53.17,44.02,0.202,0.073
1953,53.9,52.29,48.34,43.88,0.099,0.072
1954,52.7,52.25,37.82,43.64,0.051,0.07
1955,52.45,52.21,39.69,43.33,0.153,0.068
1956,51.7,52.15,46.29,42.96,0.051,0.065
1957,52.85,52.09,34.9,42.58,0.051,0.062
1958,50.4,52.02,52.02,42.21,0.051,0.059
1959,53.35,51.96,42.24,41.89,0,0.057
1960,51.45,51.89,45.18,41.67,0.198,0.054
1961,51.85,51.84,43.69,41.57,0,0.052
1962,50.65,51.79,41.27,41.58,0.052,0.049
1963,50.8,51.76,33.91,41.7,0,0.047
1964,52,51.75,36.34,41.9,0.051,0.046
1965,51.5,51.75,29.67,42.17,0,0.045
1966,51.5,51.77,39.24,42.47,0,0.046
1967,50.75,51.79,44.58,42.81,0,0.048
1968,51.8,51.81,38.68,43.14,0.052,0.05
1969,51.7,51.84,43.87,43.46,0.048,0.052
1970,51.9,51.86,41.52,43.78,0,0.055
1971,52.45,51.89,50.64,44.11,0.103,0.058
1972,51.35,51.92,55.01,44.5,0.052,0.062
1973,53.75,51.96,48.93,44.9,0.106,0.066
1974,52.55,52.01,42.61,45.28,0,0.07
1975,53.1,52.06,56.63,45.6,0.168,0.074
1976,51.6,52.12,39.57,45.81,0.049,0.078
1977,52.25,52.16,47.43,45.91,0.2,0.081
1978,50.7,52.21,47.55,45.91,0,0.084
1979,51.85,52.26,55.84,45.83,0.203,0.087
1980,52.1,52.31,36.38,45.66,0,0.09
1981,51.8,52.35,37.88,45.45,0.053,0.093
1982,51.85,52.39,40.42,45.19,0.1,0.094
1983,52.9,52.43,55.3,44.94,0.207,0.096
1984,52.55,52.47,47.5,44.73,0,0.097
1985,53,52.51,38.35,44.6,0.12,0.099
1986,52.75,52.56,44.07,44.52,0.056,0.101
1987,52.9,52.62,42.17,44.47,0.096,0.103
1988,52,52.69,39.5,44.45,0.051,0.106
1989,51.85,52.77,52.28,44.43,0.154,0.11
1990,54.85,52.85,46.28,44.41,0.199,0.113
1991,54.7,52.93,40.37,44.41,0.102,0.118
1992,51.65,53,39.73,44.46,0.099,0.123
1993,52.65,53.07,46.88,44.54,0,0.128
1994,52.5,53.13,47.21,44.65,0.151,0.136
1995,52.85,53.19,39.63,44.8,0.149,0.144
1996,51.8,53.26,59.09,45,0.252,0.153
1997,52.45,53.32,39.25,45.24,0,0.161
1998,55.6,53.38,41.29,45.5,0.203,0.168
1999,54.4,53.45,46.8,45.76,0.3,0.175
2000,52.6,53.53,44.42,46.03,0.103,0.182
2001,54,53.62,34.62,46.29,0.102,0.188
2002,54.65,53.71,44.78,46.55,0.053,0.194
2003,52.25,53.78,56.07,46.76,0.387,0.197
2004,53.5,53.84,50.57,46.85,0.202,0.198
2005,53.85,53.91,46.83,46.89,0.447,0.198
2006,55.4,53.97,51.06,46.92,0.418,0.198
2007,54.1,54.04,44.78,46.94,0.054,0.197
2008,53.95,54.11,45.79,46.96,0.109,0.197
2009,53.15,54.18,53.13,46.99,0.055,0.196
2010,54.95,54.24,43.38,47.01,0.222,0.195
2011,55.2,54.31,61.71,47.03,0.555,0.194
2012,56.1,54.38,42.52,47.04,0.053,0.192
2013,53.45,54.44,48.01,47.05,0.294,0.191
2014,52.15,54.51,48.94,47.05,0.061,0.189
2015,54.25,54.57,44.79,47.04,0.293,0.187
2016,55.3,54.64,39.55,47.01,0,0.184
2017,55.1,54.7,44.44,46.97,0.133,0.182
