"year","bucks_white","burlington_white","camden_white","chester_white","delaware_white","gloucester_white","mercer_white","montgomery_white","philadelphia_white","nj_suburban_counties_white","pa_suburban_counties_white","region_white","bucks_nonwht","burlington_nonwht","camden_nonwht","chester_nonwht","delaware_nonwht","gloucester_nonwht","mercer_nonwht","montgomery_nonwht","philadelphia_nonwht","nj_suburban_counties_nonwht","pa_suburban_counties_nonwht","region_nonwht","bucks_black","burlington_black","camden_black","chester_black","delaware_black","gloucester_black","mercer_black","montgomery_black","philadelphia_black","nj_suburban_counties_black","pa_suburban_counties_black","region_black","bucks_asian","burlington_asian","camden_asian","chester_asian","delaware_asian","gloucester_asian","mercer_asian","montgomery_asian","philadelphia_asian","nj_suburban_counties_asian","pa_suburban_counties_asian","region_asian","bucks_latinx","burlington_latinx","camden_latinx","chester_latinx","delaware_latinx","gloucester_latinx","mercer_latinx","montgomery_latinx","philadelphia_latinx","nj_suburban_counties_latinx","pa_suburban_counties_latinx","region_latinx","bucks_other","burlington_other","camden_other","chester_other","delaware_other","gloucester_other","mercer_other","montgomery_other","philadelphia_other","nj_suburban_counties_other","pa_suburban_counties_other","region_other","bucks_all","burlington_all","camden_all","chester_all","delaware_all","gloucester_all","mercer_all","montgomery_all","philadelphia_all","nj_suburban_counties_all","pa_suburban_counties_all","region_all"
2000,107354,106446,94130,120097,93558,98334,113636,109615,65508,102536,107403,97888,84137,94759,63847,81828,63436,79056,78921,90480,45081,76740,78552,59222,72559,94299,61936,66557,58359,72107,65549,82925,46325,72147,68599,55545,109504,108605,101855,133543,89626,127370,147170,107198,49112,120278,106617,88877,75966,90374,52472,78928,68645,79389,72494,88086,36687,66201,79117,54374,87139,81028,65422,80782,51881,79389,83878,86681,39351,76370,76276,59726,105537,103560,84988,115375,88513,95901,100035,107484,54328,95318,103919,86925
2005,100196,108002,92189,113041,94990,100958,112989,107042,65736,102705,103943,96847,77877,85834,56572,88324,55108,82705,81310,81957,38719,72234,73219,55020,60912,82041,52078,66733,49083,71440,63506,73854,38205,64785,60080,48480,106960,122355,115019,148916,69887,115358,141523,110271,56997,126705,106374,96437,67973,69905,47876,62335,76801,88873,76299,68790,32332,62883,68160,50006,85775,82344,48330,102675,66112,122815,72994,56513,37518,62896,75863,52643,96946,104021,80621,109517,83814,97154,97414,102768,49076,93726,98333,83455
2006,106077,104784,93126,116714,88080,98038,108218,107147,63594,100520,104854,96314,72467,80595,62517,82259,63343,90483,76681,87069,39286,72977,75810,56090,51970,78187,63609,55015,54996,76920,58326,79328,39003,67405,61933,49901,107217,116218,87732,141607,95508,114322,157316,103055,51396,122577,108202,94166,62519,61537,54569,73356,74312,107183,62447,87533,34247,61610,74869,51761,79003,74746,56363,86423,68892,113925,53524,76933,39235,64662,77875,54534,102740,99360,83050,113194,80266,97418,95296,103869,48489,92791,100060,83788
2007,101869,109352,96427,120610,93697,102233,113978,109803,66537,104855,106541,98997,89468,85348,60939,96982,63136,96718,84783,82093,41306,76085,79422,58716,58738,85239,54721,71432,53928,87560,62450,71762,42763,68022,62052,52253,137273,109301,98777,166720,100868,177498,164234,102272,47624,131636,118875,99749,73314,74266,58521,87093,72644,71618,76725,69173,34060,67522,75395,53832,112252,71473,60472,79333,67669,106044,74111,92943,36893,67549,90379,56185,100255,104386,84126,117979,85466,100576,99692,105002,50181,96063,101911,85999
2008,107249,110686,95850,121520,98388,100957,122084,111033,67653,106390,109521,101226,88909,90041,59689,93886,59289,81918,81286,84999,40823,74522,78349,57863,57207,94612,54511,75194,51672,74441,55203,74567,41174,67135,62166,51142,142235,105816,116527,145639,89051,91481,159164,111594,45440,127946,117644,97502,80132,74347,50307,84156,54757,93659,75901,68073,37828,64928,73492,54272,84753,68716,55054,84258,80931,95648,86293,83009,39194,67115,83230,56471,103787,105853,83439,117140,88848,96790,100838,106703,50523,95850,103959,86934
2009,105885,106638,96219,116201,95085,99651,114169,104329,66671,103498,105212,97917,85952,89193,61816,89108,57598,78139,83143,95506,39469,75325,80034,57783,60544,77580,57463,50321,53419,79868,57520,82399,40394,65013,62472,50244,135920,134736,125937,183214,84794,83155,172930,114617,53250,142382,122645,106128,69343,87592,50290,73899,50680,59353,72399,100833,31498,63707,77460,51748,87657,96749,54055,82884,43748,87908,76918,96248,33901,69468,80789,54814,104439,102732,83566,111742,85539,96648,98243,102639,50794,94421,100991,85296
2010,97546,102977,89048,117381,89151,97297,111179,105678,61833,99199,102548,94676,77515,94270,61029,90853,61633,72969,81505,86712,36803,75227,77583,55972,48720,86826,61398,69879,53727,55476,61484,79220,36722,67420,63024,48699,124889,136667,83104,147340,104084,130492,170135,107718,49693,132188,116335,98312,67689,95173,54500,81756,57775,81335,61736,70338,31797,65223,70736,51747,69822,83543,57288,78859,57632,92154,69845,83062,33860,67701,73860,53064,95798,100291,77384,113723,79776,95143,95740,101801,46415,90961,97723,81689
2011,93724,100020,91768,107619,88967,98824,114910,104537,61104,100168,99164,93010,88453,83431,50396,84134,58505,74494,76344,82974,36314,67333,75947,53333,58505,78899,51026,54288,52792,68003,54109,68309,35986,60797,58329,45915,145565,136223,90691,153763,91111,142942,156746,115960,44373,130136,122288,98389,75707,68381,41037,57116,45126,70821,66584,66601,34779,55512,63566,48157,71189,68753,39589,109349,62619,57116,69436,76628,34025,53080,79512,48916,92337,95317,75557,103508,78588,93949,96617,99663,44728,88984,93906,78947
2012,98192,101351,88640,110818,90007,98359,110236,102532,64532,98650,100570,93883,88562,84507,55569,91773,52771,77475,70257,80036,35775,68265,74510,53059,55330,77856,53239,67547,47580,77844,44929,68817,35642,59902,57403,45350,147694,128975,89597,160488,89327,100594,146593,106005,45982,120998,119338,95727,72045,72957,50584,67165,38982,75144,62350,67878,33205,59801,64443,49321,81212,83349,49289,95986,37294,61579,75072,72956,32073,62656,75429,50173,96663,95666,75926,105591,78212,93408,87083,98561,45322,87037,94965,78998
2013,95420,99577,88064,109590,92971,93169,105338,101549,64865,95934,99867,92792,74443,94298,52020,88895,53828,76211,71946,80242,37556,69250,71993,53759,51891,84452,46095,61474,50494,76740,49945,70276,37863,60133,58034,46815,123499,135422,108091,169755,75491,135041,138747,99813,47069,128141,111135,94837,56721,94684,44593,63110,46306,47412,67656,74400,32709,60104,62535,48969,63199,95990,46228,75678,51176,67901,64793,74016,34830,61473,66254,49676,92853,97653,73186,105519,81786,90028,89400,97048,46476,86643,94324,78924
2014,99637,102144,90263,111288,91065,102776,116138,102729,67538,101480,101371,95696,80668,94420,55315,98201,55969,79310,76223,82196,38332,72168,75917,56011,57474,87015,48112,63663,49156,75308,55022,67085,37523,62713,57167,47061,123000,149312,87854,182220,86065,139994,169425,114970,54618,137128,122089,104779,59719,85578,53079,62425,49874,64937,54629,68416,35076,59945,61703,49772,93198,82943,57236,137873,82582,65934,61417,71509,35062,64025,88494,54705,96696,100393,77352,105949,78175,98914,93028,98654,48453,91147,95114,81095
2015,102106,100189,94961,115604,100926,101401,112669,107274,74780,101307,106372,99619,86151,76625,59509,88268,58379,69713,76293,80749,39573,69026,75507,55744,75839,70167,56894,64864,51064,59975,56649,66565,38885,60496,59946,47907,131017,110312,105438,148841,90543,152738,162654,106289,51542,132446,115251,99837,61152,76527,53146,66726,59888,54193,53861,71770,37239,57435,65815,50626,66769,68373,48949,80569,62622,52905,58778,78606,37613,55629,72735,50669,99822,92668,80558,112122,83728,96093,89716,103141,51083,88771,99857,83256
2016,100385,101278,96119,117912,97556,100304,111779,107777,71926,101559,105918,98953,75607,86746,55090,88032,56510,83936,81504,84621,40278,72208,74461,56828,61217,83176,53748,61667,50427,71175,49443,79558,38817,61854,61540,48573,118104,128048,90298,160241,84737,111276,179169,106535,58785,135425,113686,102570,57557,78317,49565,60693,63162,101614,60850,69744,36773,62269,63169,51535,58633,71275,47026,74593,48753,82047,97204,67373,39731,61623,62706,51727,97768,98156,81166,113020,83108,97698,94972,102876,50695,91974,99316,83793
2017,105488,109893,96685,119522,101632,109070,115736,110041,,106952,109170,100330,86462,96205,57769,100569,63789,67430,81204,88614,,73857,82091,59618,69842,91023,56242,81392,56465,52527,49243,71035,,62699,65110,51316,137650,132506,111841,163327,94649,140739,185604,119953,,148406,125754,111565,62624,89172,43792,74700,70133,67081,59132,75827,,58278,71185,49163,70260,89015,51710,73549,59846,58617,64634,85965,,62999,74328,53676,101497,104998,79277,115756,88449,103589,94819,104556,,94283,102530,84929
2018,106501,103787,95903,119096,98330,99461,117156,108890,75927,103031,108352,101323,85413,91671,54187,93971,63878,73594,84524,89904,41573,73006,81326,59511,72179,83526,53214,66164,54554,51722,58468,86900,39484,62190,67314,50294,138841,149469,114068,152276,105505,146806,171777,104311,66024,147918,119614,110280,63324,88070,41588,76771,71327,95129,59566,84400,37756,59772,74849,53796,61712,70349,42069,71652,52904,60828,94358,70840,39282,57708,64827,50823,103542,99240,78938,115876,84225,95686,94264,105358,53912,91035,102404,85723
2019,109321,108550,107121,122713,100545,104640,108581,110734,80414,107283,110916,104680,96451,87744,56884,95199,66792,86025,86198,89837,42000,74785,84306,60811,66219,84170,56854,58885,61244,77063,55516,72573,42026,65776,64895,52118,141058,105122,94302,150461,104335,129801,178310,115251,56582,133592,124165,105237,81913,86542,51322,90385,58242,82390,71356,91623,37231,66109,83514,57731,101350,85442,44668,72103,47825,,67981,70130,37299,58722,73850,51095,107665,101958,84591,117137,88802,102705,91274,105983,54510,94204,104903,87826
2021,110978,107135,97010,120382,102063,108798,110343,116767,85268,105108,113171,106003,87728,92414,68403,105345,62822,82073,88453,90346,45244,80999,83892,64332,60225,87785,67105,64180,51011,68324,60598,65579,41387,70860,57779,51375,139167,122359,128119,175067,83064,113621,178372,127118,60220,147392,129770,111608,68574,82067,55991,79691,90454,84713,67988,84663,48419,66679,80115,61890,85406,94294,60477,99517,78904,96033,74048,87612,47104,74876,87748,66087,108247,102035,84686,118469,84549,102051,94755,111222,57179,94868,106136,88960
2022,105728,100716,96742,121800,97599,100140,109584,110174,81968,101047,109050,102021,101576,102619,60856,107139,62826,87651,86228,91500,45044,80444,87161,64984,73776,94995,54284,61911,52773,80201,45429,71263,42747,65221,61440,51600,149816,141694,107124,180768,108327,122717,172459,122990,61985,143627,136611,113983,79815,102361,55406,87073,60011,81591,81037,81350,42654,73971,78947,61689,103445,95050,58591,91982,59876,91579,82989,91212,45669,76191,88122,66021,105398,100478,81768,117232,83960,98301,95668,106811,56517,93044,103598,87067
